R,U,L,N,K,replicate,seed,extinction_generation,extinction_status,final_generation,final_popsize
0,3.0,0.8,5000,10000,3,-36801069890354783,1,extinct,1,0
0,3.0,0.8,5000,10000,4,3213428881521073851,1,extinct,1,0
0,3.0,0.8,5000,10000,5,-2678541303868923075,1,extinct,1,0
0,3.0,1.0,5000,10000,1,290676694133332610,1,extinct,1,0
0,3.0,1.0,5000,10000,2,-1120815211035298653,1,extinct,1,0
0,3.0,1.0,5000,10000,3,-5033931557311462044,1,extinct,1,0
0,3.0,1.0,5000,10000,4,6893578406564073478,1,extinct,1,0
0,3.0,1.0,5000,10000,5,-5171676272190056496,1,extinct,1,0
0,3.5,0.0,5000,10000,1,-6330397097182734338,1,extinct,1,0
0,3.5,0.0,5000,10000,2,699842647275665730,1,extinct,1,0
0,3.5,0.0,5000,10000,3,3535151944241496063,1,extinct,1,0
0,3.5,0.0,5000,10000,4,-5348944196284524853,1,extinct,1,0
0,3.5,0.0,5000,10000,5,5119783314993544129,1,extinct,1,0
0,3.5,0.2,5000,10000,1,385609981085098047,1,extinct,1,0
0,3.5,0.2,5000,10000,2,235256506572192166,1,extinct,1,0
0,3.5,0.2,5000,10000,3,-4760038836944492302,1,extinct,1,0
0,3.5,0.2,5000,10000,4,4836478888595630059,1,extinct,1,0
0,3.5,0.2,5000,10000,5,3664311049881996071,1,extinct,1,0
0,3.5,0.4,5000,10000,1,8544811836713175856,1,extinct,1,0
0,3.5,0.4,5000,10000,2,-835049887386971272,1,extinct,1,0
0,3.5,0.4,5000,10000,3,-6889655225742267924,1,extinct,1,0
0,3.5,0.4,5000,10000,4,626063312298372902,1,extinct,1,0
0,3.5,0.4,5000,10000,5,6216693554750335479,1,extinct,1,0
0,3.5,0.6,5000,10000,1,1721764403678629271,1,extinct,1,0
0,3.5,0.6,5000,10000,2,5456731493876355320,1,extinct,1,0
0,3.5,0.6,5000,10000,3,4201911088528599089,1,extinct,1,0
0,3.5,0.6,5000,10000,4,-6470379161710773105,1,extinct,1,0
0,3.5,0.6,5000,10000,5,-8786255854404512873,1,extinct,1,0
0,3.5,0.8,5000,10000,1,-550269094969401448,1,extinct,1,0
0,3.5,0.8,5000,10000,2,2281895937957189849,1,extinct,1,0
0,3.5,0.8,5000,10000,3,-4774992195113304706,1,extinct,1,0
0,3.5,0.8,5000,10000,4,2142187000641641733,1,extinct,1,0
0,3.5,0.8,5000,10000,5,391257714415411453,1,extinct,1,0
0,3.5,1.0,5000,10000,1,5839310176243132663,1,extinct,1,0
0,3.5,1.0,5000,10000,2,-7531937248862839445,1,extinct,1,0
0,3.5,1.0,5000,10000,3,-2490575441984902259,1,extinct,1,0
0,3.5,1.0,5000,10000,4,-3180008324042569878,1,extinct,1,0
0,3.5,1.0,5000,10000,5,-2046318811088393585,1,extinct,1,0
0,4.0,0.0,5000,10000,1,2228274806450434495,1,extinct,1,0
0,4.0,0.0,5000,10000,2,-6932967840818441787,1,extinct,1,0
0,4.0,0.0,5000,10000,3,6916553135678912816,1,extinct,1,0
0,4.0,0.0,5000,10000,4,-5078351515623998128,1,extinct,1,0
