psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.019890605211844024,0.30993440813187667,0.19896327849135126,0.9984717500782232,-8.509036678205511,-3.5121477917211372,0.6707808524436633,142.0,181.6585,234.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.020008090402150486,0.30632323980396425,0.19301734609955595,0.997311684804897,-8.452115993000728,-3.5015355519031917,0.7058146922701896,145.0,184.8863,235.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.019429310301551216,0.3122026506706531,0.20501131391085897,0.9988801590716735,-8.441029717929583,-3.507924632920514,0.6952401663627247,148.0,187.9599,241.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.021750348639817573,0.3121914593954498,0.2013387831798056,0.9987777900167814,-8.454499600461476,-3.516474102958768,0.6733064683112389,151.0,191.0844,247.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.0226416677810187,0.31715186915796073,0.20942758025520875,0.9991658005287931,-8.508749173367574,-3.5488065004529403,0.6510172753349514,154.0,194.3818,249.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.020980202403106798,0.31644556229112086,0.21207805780312539,0.9993550757959441,-8.523846016132515,-3.5613579569086813,0.6564948775038222,155.0,197.4152,250.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02351360063056878,0.3224187707536715,0.21948561363446048,0.9981714927185503,-8.62917506379407,-3.5931522410261243,0.6101541394472055,157.0,200.3761,256.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.023368325949691002,0.32497130110007794,0.2237929959945959,0.9984732852950057,-8.630006277810102,-3.6195498345718256,0.6163032145051832,160.0,203.0979,256.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.022029351554177824,0.32287360718117575,0.2163370830503527,0.9984634926639726,-8.659155667830342,-3.6294908766714076,0.6439152203622012,163.0,206.2872,260.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02399882394180462,0.33245323606822186,0.23620218253623737,0.9975695904581218,-8.753224591233018,-3.68325308253791,0.5936039839959849,166.0,209.4544,265.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02531718825211097,0.33465842793004574,0.232890959262049,0.9964825040727506,-8.828335940502443,-3.7098681101007007,0.5880683960533074,169.0,212.8691,269.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.029336049228286483,0.3422536402734307,0.24819720294893122,0.9962869415645806,-8.86795088732717,-3.7437215455025115,0.5322422685650596,172.0,216.2535,270.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.028931275321416917,0.3387797221670704,0.24246160207878695,0.9955486912935047,-8.924259862544012,-3.766223996619122,0.5651507810525415,176.0,220.1866,272.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.024771047619198468,0.3377807548257573,0.2417826350997385,0.9978084581746651,-8.954876998074814,-3.7810899193849736,0.5845998542269656,177.0,224.4456,271.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.026863266370325108,0.3418465606661873,0.25023809149818826,0.996963810536071,-8.999605564011054,-3.806944076270702,0.5675958922502933,180.0,228.6546,278.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.03158614250393093,0.35111915389837234,0.26978151729386335,0.9972504435217048,-9.060756362135288,-3.8248712898692014,0.5154699926855043,197.0,232.5782,281.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02943194735941963,0.3438234635192931,0.25382831158814834,0.9970809872407891,-9.095597553333903,-3.823173833097046,0.5358650056328293,198.0,236.6996,290.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.03221945690568501,0.34389673330691173,0.2506269500880143,0.9979958188215805,-9.109308284040392,-3.818972002628037,0.5427384242295671,202.0,240.9159,291.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02978043024884641,0.34105834014196673,0.2419414627103208,0.9988227993636561,-9.154002118217122,-3.8142050483120373,0.5477909243582122,204.0,244.8649,294.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02628146771251875,0.3306101928032832,0.2311133669942123,0.9988227993636561,-9.189942012312452,-3.803767396338453,0.6121201043099107,206.0,248.804,300.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.025402100869840172,0.3320103809181137,0.23295176328630923,0.9995275073298601,-9.26222006584951,-3.8052576755866174,0.598645872189742,209.0,252.5877,305.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02680381023770651,0.33296297743100783,0.23339394297114313,0.9985347200591688,-9.396879311591814,-3.816122829850385,0.5705422677117278,212.0,256.558,311.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02478961381278707,0.33636097703031775,0.23776406118171484,0.9973696257926669,-9.503551522040372,-3.831168295412314,0.5782592013692737,214.0,260.8608,313.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02602329604170451,0.3355497760740925,0.2339930911435934,0.9971814037176768,-9.597652012393182,-3.865664942847396,0.5764518780523675,220.0,264.8307,319.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02767352489103281,0.3398664877310972,0.2422022845531426,0.9958666044422717,-9.750377062492678,-3.920069791047994,0.5646082387238363,230.0,268.8904,325.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.028856611983578043,0.3413131763527198,0.2438220142072171,0.9947568411711023,-9.805658032097035,-3.9477924846761554,0.544041848217857,234.0,272.9929,330.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02805357535184513,0.34539563737369927,0.2488082058610221,0.9956765049692201,-9.819802489750813,-3.9657817819785857,0.5585719844519256,235.0,276.612,333.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02930506265776572,0.34684846408412967,0.24860042746342104,0.9972245759219363,-9.914471912601098,-4.018197473267817,0.5472894463105055,238.0,280.3485,337.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.034424200630373394,0.3537436493196663,0.26373508721290473,0.9976269665872266,-9.963766975460233,-4.045252137451698,0.507041577633813,244.0,283.8366,333.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.03122581371763701,0.35801277349650784,0.27584891469805145,0.995912312462247,-9.975164450781792,-4.0745617916173975,0.5056045048538226,247.0,287.1254,337.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.03685998976615554,0.3604205936930573,0.280695734674143,0.9969708551531399,-9.998603942940399,-4.089279292611596,0.4872080510422078,252.0,290.2725,344.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.03453240417845736,0.35700635771625316,0.2814870944219372,0.9975355167567742,-9.939754383305646,-4.0659885918069865,0.5039548494588991,254.0,293.8633,347.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.0345248366091236,0.35273409870246736,0.27613857442753476,0.9985217097334359,-9.929091577721843,-4.056379934249498,0.517734750040675,257.0,297.509,349.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.032856116342476795,0.3449058890961747,0.2554639979618648,0.9983507253756672,-9.851391617575372,-4.02065304539283,0.5370605776448151,262.0,301.1415,354.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.025744600420374086,0.33369927648423897,0.23038596340311385,0.9970855378170924,-9.839831478285408,-3.9938187435754373,0.6019144671640448,265.0,305.0844,354.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.028356543205770697,0.3393111746091339,0.24391524946652482,0.9957950682290627,-9.805887927248103,-3.990690036840884,0.5683235663679792,270.0,308.9885,359.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.028321597213686246,0.3418605655754586,0.24984980312730398,0.9960071305771223,-9.803840641781166,-3.986752438652066,0.5643475771033746,274.0,312.9123,366.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02859258073028737,0.3425438901713326,0.25849196061410695,0.9957190477776521,-9.726040314045658,-3.9696438982590365,0.5559763429938055,276.0,316.6883,370.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.029179342234440006,0.3464216150992566,0.2633103360759137,0.99565106270989,-9.677607247470755,-3.9510867255934747,0.5455471362469205,279.0,320.1247,371.0,0.0,10000,-719784586405149528,5,9,10000
